Date,Open,tomo prediction,Dividends,Pos,prediction,last
2018-06-26,90.0273701013676,1,0.0,0,0.0,1.0
2018-06-27,90.03637616028294,1,0.0,0,1.0,0.0
2018-06-28,89.21589512867754,1,0.0,1,1.0,1.0
2018-06-29,89.26098657114008,1,0.0,1,1.0,1.0
2018-07-03,89.44130927428785,1,0.0,1,1.0,1.0
2018-07-05,89.64869687053994,1,0.0,1,1.0,1.0
2018-07-06,89.69375348335812,1,0.0,1,1.0,1.0
2018-07-09,90.61340558561905,1,0.0,1,1.0,1.0
2018-07-10,91.26259931956726,1,0.0,0,1.0,1.0
2018-07-11,91.1453635250124,1,0.0,1,1.0,1.0
2018-07-12,91.06423948556944,1,0.0,0,1.0,1.0
2018-07-13,91.60520811863563,1,0.0,1,1.0,1.0
2018-07-16,91.3707773092768,1,0.0,1,1.0,1.0
2018-07-17,91.74947774179816,1,0.0,0,1.0,1.0
2018-07-18,92.15521445479557,1,0.0,0,1.0,1.0
2018-07-19,91.49702035031494,1,0.0,1,1.0,1.0
2018-07-20,91.37979349516688,1,0.0,1,1.0,1.0
2018-07-23,91.48800706698408,1,0.0,1,1.0,1.0
2018-07-24,91.96585698223831,1,0.0,0,1.0,1.0
2018-07-25,91.83821245335072,1,0.94,1,1.0,1.0
2018-07-26,91.77450507460684,1,0.0,1,1.0,1.0
2018-07-27,91.88370028960331,1,0.0,1,1.0,1.0
2018-07-30,92.13850887691669,1,0.0,1,1.0,1.0
2018-07-31,91.9929035906366,1,0.0,1,1.0,1.0
2018-08-01,92.33871699402138,1,0.0,0,1.0,1.0
2018-08-02,92.13850367853053,1,0.0,0,1.0,1.0
2018-08-03,92.28411778942404,1,0.0,0,1.0,1.0
2018-08-07,92.548018001906,1,0.0,1,1.0,1.0
2018-08-08,91.53790535590292,1,0.0,1,1.0,1.0
2018-08-09,92.09300005942647,1,0.0,0,1.0,1.0
2018-08-10,92.27500533882879,1,0.0,1,1.0,1.0
2018-08-13,92.01111443648308,1,0.0,1,1.0,1.0
2018-08-14,92.40239927868521,1,0.0,0,1.0,1.0
2018-08-15,92.3660136121686,1,0.0,1,1.0,1.0
2018-08-16,92.61170906207168,1,0.0,1,1.0,1.0
2018-08-17,92.78461451402588,1,0.0,1,1.0,1.0
2018-08-20,93.0940252985983,1,0.0,0,1.0,1.0
2018-08-21,93.5217198549676,1,0.0,1,1.0,1.0
2018-08-22,93.66732779850985,1,0.0,0,1.0,1.0
2018-08-23,94.44993991351295,1,0.0,0,1.0,1.0
2018-08-24,94.5045396875977,1,0.0,1,1.0,1.0
2018-08-27,94.52274720274531,1,0.0,0,1.0,1.0
2018-08-28,94.71383859698744,1,0.0,1,1.0,1.0
2018-08-29,94.45903481146071,1,0.0,1,1.0,1.0
2018-08-30,94.82303787812118,1,0.0,0,1.0,1.0
2018-08-31,95.3235420320302,1,0.0,1,1.0,1.0
